[2026/09/25 22:48:38:6574] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 22:48:38:6576] N: tty configuration:
[2026/09/25 22:48:38:6576] N:   start command: /tmp/tcc-muhyyffw/attach.sh
[2026/09/25 22:48:38:6576] N:   close signal: SIGHUP (1)
[2026/09/25 22:48:38:6577] N:   terminal type: xterm-256color
[2026/09/25 22:48:38:6577] N:   allow url arg: true
[2026/09/25 22:48:38:6577] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 22:48:50:8956] N: started process, pid: 36868
[2026/09/25 22:48:50:8967] N: started process, pid: 36869
[2026/09/25 22:48:50:8976] N: started process, pid: 36870
[2026/09/25 22:48:50:8983] N: started process, pid: 36871
[2026/09/25 22:48:50:9005] N: started process, pid: 36872
[2026/09/25 22:48:50:9017] N: started process, pid: 36881
[2026/09/25 22:48:50:9025] N: started process, pid: 36883
[2026/09/25 22:48:51:0269] N: WS closed from (unix skt), clients: 9
[2026/09/25 22:48:51:0270] N: killing process, pid: 36868
[2026/09/25 22:48:51:0272] N: process killed with signal 1, pid: 36868
[2026/09/25 22:48:51:0649] N: WS closed from (unix skt), clients: 8
[2026/09/25 22:48:51:0649] N: killing process, pid: 36881
[2026/09/25 22:48:51:0664] N: process killed with signal 1, pid: 36881
[2026/09/25 22:48:51:1693] N: WS closed from (unix skt), clients: 7
[2026/09/25 22:48:51:1694] N: killing process, pid: 36865
[2026/09/25 22:48:51:1698] N: process killed with signal 0, pid: 36865
[2026/09/25 22:48:51:2004] N: WS closed from (unix skt), clients: 6
[2026/09/25 22:48:51:2005] N: killing process, pid: 36866
[2026/09/25 22:48:51:2008] N: process killed with signal 0, pid: 36866
[2026/09/25 22:48:51:2790] N: WS closed from (unix skt), clients: 5
[2026/09/25 22:48:51:2790] N: killing process, pid: 36871
[2026/09/25 22:48:51:2791] N: WS closed from (unix skt), clients: 4
[2026/09/25 22:48:51:2792] N: killing process, pid: 36870
[2026/09/25 22:48:51:2795] N: process killed with signal 0, pid: 36871
[2026/09/25 22:48:51:2796] N: process killed with signal 0, pid: 36870
[2026/09/25 22:48:51:7156] N: WS closed from (unix skt), clients: 3
[2026/09/25 22:48:51:7156] N: killing process, pid: 36867
[2026/09/25 22:48:51:7162] N: process killed with signal 0, pid: 36867
[2026/09/25 22:48:51:7287] N: WS closed from (unix skt), clients: 2
[2026/09/25 22:48:51:7287] N: killing process, pid: 36872
[2026/09/25 22:48:51:7292] N: process killed with signal 0, pid: 36872
